table_name,table_schema,column_name,data_type
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,early_branch_life_in_days,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,end_branch_life_in_days,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,total_life_in_days,real
adw_prod_adw_bdv_dim_item_hist_br,sainsbury,department_manager_cd,real
item_packaging_component_link,sainsbury,item_spec_nk1,integer
item_packaging_component_link,sainsbury,item_spec_nk2,integer
item_packaging_component_link,sainsbury,item_packaging_cd,integer
item_packaging_component_link,sainsbury,item_packaging_component_cd,integer
item_packaging_component_link,sainsbury,recycled_percent,real
item_packaging_component_link,sainsbury,recycled_weight,real
item_packaging_component_link,sainsbury,component_weight,real
item_packaging_component_link,sainsbury,food_contact_flag,boolean
subcat_daily_hist_link,sainsbury,store_nk1,real
subcat_daily_hist_link,sainsbury,sub_cat_nk1,real
subcat_daily_hist_link,sainsbury,depot_nk1,real
subcat_daily_hist_link,sainsbury,store_range_ind,integer
subcat_daily_hist_link,sainsbury,stock_on_hand_qty,real
subcat_daily_hist_link,sainsbury,non_sellable_qty,real
subcat_daily_hist_link,sainsbury,return_to_supplier_qty,real
subcat_daily_hist_link,sainsbury,reserved_for_transfer_qty,real
subcat_daily_hist_link,sainsbury,reserved_for_customer_qty,real
subcat_daily_hist_link,sainsbury,advanced_delivery_qty,real
subcat_daily_hist_link,sainsbury,stock_net_delivery_qty,real
subcat_daily_hist_link,sainsbury,in_stock_net_delivery_ind,integer
subcat_daily_hist_link,sainsbury,out_of_stock_net_delivery_ind,integer
subcat_daily_hist_link,sainsbury,in_stock_actual_ind,integer
subcat_daily_hist_link,sainsbury,out_of_stock_actual_ind,integer
subcat_daily_hist_link,sainsbury,in_stock_shrinkage_ind,integer
subcat_daily_hist_link,sainsbury,out_of_stock_shrinkage_ind,integer
subcat_daily_hist_link,sainsbury,in_stock_disposal_ind,integer
subcat_daily_hist_link,sainsbury,out_of_stock_disposal_ind,integer
subcat_daily_hist_link,sainsbury,stock_on_hand_case_qty,real
subcat_daily_hist_link,sainsbury,reserved_for_customer_case_qty,real
subcat_daily_hist_link,sainsbury,non_sellable_case_qty,real
subcat_daily_hist_link,sainsbury,reserved_for_transfer_case_qty,real
subcat_daily_hist_link,sainsbury,return_to_supplier_case_qty,real
subcat_daily_hist_link,sainsbury,stock_net_delivery_case_qty,real
subcat_daily_hist_link,sainsbury,operating_company_cd,integer
subcat_daily_hist_link,sainsbury,source_batch_cd,integer
subcat_daily_hist_link,sainsbury,store_sk_cd,integer
subcat_daily_hist_link,sainsbury,warehouse_sk_cd,integer
subcat_daily_hist_link,sainsbury,sub_cat_sk_cd,integer
subcat_daily_hist_link,sainsbury,store_range_sk_cd,integer
adw_prod_adw_rdv_item_pdscor_sat,sainsbury,item_nk1,integer
adw_prod_adw_rdv_item_pdscor_sat,sainsbury,gross_packaged_weight_qty,real
adw_prod_adw_rdv_item_pdscor_sat,sainsbury,drained_weight_qty,real
adw_prod_adw_rdv_item_pdscor_sat,sainsbury,units_per_item_qty,real
adw_prod_adw_rdv_item_pdscor_sat,sainsbury,volumetric_qty,real
adw_prod_adw_rdv_item_pdscor_sat,sainsbury,average_unit_weight_qty,real
adw_prod_adw_rdv_item_pdscor_sat,sainsbury,block_sale_flag,boolean
adw_prod_adw_rdv_store_opcpty_sat,sainsbury,sales_area_inc_chkout_in_sq_ft,real
adw_prod_adw_rdv_store_opcpty_sat,sainsbury,sales_area_exc_chkout_in_sq_ft,real
adw_prod_adw_rdv_store_opcpty_sat,sainsbury,food_sales_area_in_sq_ft,real
adw_prod_adw_rdv_store_opcpty_sat,sainsbury,clothing_sales_area_in_sq_ft,real
adw_prod_adw_rdv_store_opcpty_sat,sainsbury,gm_sales_area_in_sq_ft,real
adw_prod_adw_rdv_store_opcpty_sat,sainsbury,non_food_sales_area_in_sq_ft,real
adw_prod_adw_rdv_store_opcpty_sat,sainsbury,num_of_car_park_spaces,real
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,polled_week_num,integer
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,tran_week_num,integer
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,item_cd,integer
adw_prod_adw_finance_pl_agg_finance_pnl_metric,sainsbury,sub_cat_cd,integer
